id,expname,subject,ip,condnum,choice,submitted,event,roword,colord,evttype,boxname,boxin,boxtime,counter,mlchoice,relcount,maxcount,f_con3,f_con2,f_con1,f_pro1,f_pro2,f_pro3,f_catbtn,f_dogbtn,t_con3,t_con2,t_con1,t_pro1,t_pro2,t_pro3,t_catbtn,t_dogbtn
68,pr4example,anonymous,,-1,catbtn,3/5/20 21:34,mouseout,0_1_2,0_1,0_0,con3,1573,1598,1,catbtn,0.142857143,7,1,0,0,0,0,0,0,0,1598,0,0,0,0,0,0,0
68,pr4example,anonymous,,-1,catbtn,3/5/20 21:34,mouseout,0_1_2,0_1,0_0,con2,3193,1822,2,catbtn,0.285714286,7,0,1,0,0,0,0,0,0,0,1822,0,0,0,0,0,0
68,pr4example,anonymous,,-1,catbtn,3/5/20 21:34,mouseout,0_1_2,0_1,0_0,con1,5038,1755,3,catbtn,0.428571429,7,0,0,1,0,0,0,0,0,0,0,1755,0,0,0,0,0
68,pr4example,anonymous,,-1,catbtn,3/5/20 21:34,mouseout,0_1_2,0_1,0_0,pro1,6815,1676,4,catbtn,0.571428571,7,0,0,0,1,0,0,0,0,0,0,0,1676,0,0,0,0
68,pr4example,anonymous,,-1,catbtn,3/5/20 21:34,mouseout,0_1_2,0_1,0_0,pro2,8514,1676,5,catbtn,0.714285714,7,0,0,0,0,1,0,0,0,0,0,0,0,1676,0,0,0
68,pr4example,anonymous,,-1,catbtn,3/5/20 21:34,mouseout,0_1_2,0_1,0_0,pro3,10213,3465,6,catbtn,0.857142857,7,0,0,0,0,0,1,0,0,0,0,0,0,0,3465,0,0
68,pr4example,anonymous,,-1,catbtn,3/5/20 21:34,onclick,0_1_2,0_1,0_0,catbtn,14105,324,7,catbtn,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,324,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro3,868,528,1,dogbtn,0.038461538,26,0,0,0,0,0,1,0,0,0,0,0,0,0,528,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro2,1419,403,2,dogbtn,0.076923077,26,0,0,0,0,1,0,0,0,0,0,0,0,403,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro1,1834,349,3,dogbtn,0.115384615,26,0,0,0,1,0,0,0,0,0,0,0,349,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con1,2183,495,4,dogbtn,0.153846154,26,0,0,1,0,0,0,0,0,0,0,495,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con2,2712,315,5,dogbtn,0.192307692,26,0,1,0,0,0,0,0,0,0,315,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro2,3027,360,6,dogbtn,0.230769231,26,0,0,0,0,1,0,0,0,0,0,0,0,360,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con3,3420,450,7,dogbtn,0.269230769,26,1,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro3,3882,304,8,dogbtn,0.307692308,26,0,0,0,0,0,1,0,0,0,0,0,0,0,304,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro2,4197,269,9,dogbtn,0.346153846,26,0,0,0,0,1,0,0,0,0,0,0,0,269,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con2,4478,282,10,dogbtn,0.384615385,26,0,1,0,0,0,0,0,0,0,282,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con1,4771,326,11,dogbtn,0.423076923,26,0,0,1,0,0,0,0,0,0,0,326,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro1,5108,214,12,dogbtn,0.461538462,26,0,0,0,1,0,0,0,0,0,0,0,214,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro2,5333,236,13,dogbtn,0.5,26,0,0,0,0,1,0,0,0,0,0,0,0,236,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con2,6976,292,14,dogbtn,0.538461538,26,0,1,0,0,0,0,0,0,0,292,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con1,7301,496,15,dogbtn,0.576923077,26,0,0,1,0,0,0,0,0,0,0,496,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con2,7808,304,16,dogbtn,0.615384615,26,0,1,0,0,0,0,0,0,0,304,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con3,8134,485,17,dogbtn,0.653846154,26,1,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,onclick,0_1_2,0_1,0_0,dogbtn,9585,312,18,dogbtn,0.692307692,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,312
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con1,35069,335,19,dogbtn,0.730769231,26,0,0,1,0,0,0,0,0,0,0,335,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro1,857,1541,20,dogbtn,0.769230769,26,0,0,0,1,0,0,0,0,0,0,0,1541,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro2,2409,1564,21,dogbtn,0.807692308,26,0,0,0,0,1,0,0,0,0,0,0,0,1564,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,pro3,3984,1418,22,dogbtn,0.846153846,26,0,0,0,0,0,1,0,0,0,0,0,0,0,1418,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con3,5413,2880,23,dogbtn,0.884615385,26,1,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con2,8315,3094,24,dogbtn,0.923076923,26,0,1,0,0,0,0,0,0,0,3094,0,0,0,0,0,0
69,pr4example,anonymous,,-1,dogbtn,3/5/20 21:41,mouseout,0_1_2,0_1,0_0,con1,11421,2678,25,dogbtn,0.961538462,26,0,0,1,0,0,0,0,0,0,0,2678,0,0,0,0,0
